185	1
183	1
188	1
186	2
184	2
187	2
207	3
23	3
208	4
24	4
1	5
3	5
2	6
4	6
73	7
135	7
129	7
125	7
189	7
127	7
66	7
64	7
131	7
219	7
123	7
133	7
109	8
117	8
105	8
113	8
81	8
111	8
107	8
118	9
82	9
106	9
110	9
114	9
112	9
108	9
124	10
130	10
126	10
128	10
190	10
134	10
132	10
220	10
136	10
58	11
62	11
86	12
94	12
90	12
116	13
181	13
115	14
182	14
71	15
69	16
79	16
147	16
139	17
141	17
143	17
59	17
140	18
142	18
144	18
60	18
47	19
148	20
80	20
36	21
38	21
204	22
33	23
37	23
40	24
68	25
217	26
5	28
13	65
14	66
213	67
214	68
225	69
226	70
151	71
152	72
145	73
146	74
74	75
193	76
194	77
21	78
22	79
61	80
57	81
173	82
174	83
93	84
7	85
8	86
89	87
43	88
44	89
9	90
10	91
72	92
70	93
77	94
78	95
201	96
202	97
19	98
20	99
48	100
35	101
27	102
28	103
65	104
203	105
49	106
50	107
95	108
96	109
63	110
29	111
30	112
165	113
166	114
34	115
171	116
172	117
45	118
46	119
159	120
160	121
221	122
222	123
39	124
223	125
224	126
75	127
76	128
41	129
42	130
6	131
25	132
26	133
15	134
16	135
179	136
180	137
149	138
150	139
17	140
18	141
177	142
178	143
85	144
67	145
163	146
164	147
175	148
176	149
51	150
52	151
157	152
158	153
229	154
230	155
218	156
227	157
228	158
161	159
162	160
215	161
216	162
211	163
212	164
11	165
12	166
